case_number,source,prompt,evaluation_seed
16732,coco-30k,A little boy that is sitting in the grass with a suitcase.,33315
16733,coco-30k,A brown and white dog standing next to a white horse.,20070
16734,coco-30k,A cat that is laying down on a couch.,66979
16735,coco-30k,A lady is on the beach hiding in her umbrella. ,64576
16736,coco-30k,a woman in glasses and hat paddles a canoe,51499
16737,coco-30k,A cat standing on a desk with a remote.,41669
16738,coco-30k,A cat up on a desk drinking milk from a glass.,319
16739,coco-30k,A group of people and elephants on a street.,21043
16740,coco-30k,A cat is laying face down on the remote control. ,42828
16741,coco-30k,"Many objects, such as a shirt and shoes are in the briefcase. ",24002
16742,coco-30k,An elephant is standing outside of the water while the others are inside. ,16609
16743,coco-30k,A dog grabs for a Frisbee in the park.  ,61581
16744,coco-30k,The furry animal with long claws is covering its eye with its paw.,61120
16745,coco-30k,A couple of women in the street holding umbrellas.,35526
16746,coco-30k,A group of elephants are standing in the trees.,8067
16747,coco-30k,A large green truck on a city street.,95697
16748,coco-30k,there is a large building under construction and many parking meters,51340
16749,coco-30k,there is a small black train and people looking at it,72848
16750,coco-30k,Woman in a red hat covering half her face and tie. ,52342
16751,coco-30k,"A man wearing glasses, dress shirt and a tie is smiling in content.",45216
16752,coco-30k,A small boat in the water and a person.,52598
16753,coco-30k,A large truck next to some trees outside.,123
16754,coco-30k,The dog lays on the old dirty blanket ,58824
16755,coco-30k,A man wearing a tie up against a wall.,46167
16756,coco-30k,A person in a the reflection of a truck mirror.,35948
16757,coco-30k,A couple of cars on a city street.,84912
16758,coco-30k,A group of three elephants are standing in the water.,67706
16759,coco-30k,A couple of large trucks in a corn field.,97592
16760,coco-30k,A man is shaking hands with another man.,52052
16761,coco-30k,a group of green luggage sitting together in a living room ,64204
16762,coco-30k,there  is a painting of a woman holding a red umbrella,27173
16763,coco-30k,A boat that has blue covers sitting on the side of the water,54413
16764,coco-30k,A grey tabby kitten inside a black suit case.,30447
16765,coco-30k,there is a german sherpard sitting on the floor with a stuffed bear,90586
16766,coco-30k,there is a long train coming up the tracks ,52134
16767,coco-30k,there are two men playing fetch with a dog in the field,32062
16768,coco-30k,A black cat sits contentedly in a suitcase.,13265
16769,coco-30k,A graffiti covered truck parked in front of a building.,40588
16770,coco-30k,A man with a white shirt and dress pants outside in the rain with an umbrella.,1579
16771,coco-30k,A child stands away from a woman and and another child and they all carry umbrellas on a sidewalk.,17672
16772,coco-30k,A parking meter sitting next to a parked car.,42363
16773,coco-30k,A man holding a baby in a white baptism outfit.,42486
16774,coco-30k,there is a red and silver bullet rain at a train stop,25851
16775,coco-30k,there is a yellow and silver train at the train station,70308
16776,coco-30k,A woman reaching in her purse while holding an umbrella.,97406
16777,coco-30k,A group of people dressed in an elephant costume.,2581
16778,coco-30k,Baby cow eating apple from hand with wood fence,36310
16779,coco-30k,Man holding two shirts with luggage and window,78841
16780,coco-30k,Dog in bag with mesh and items around,90852
16781,coco-30k,A man licking a tie by a group of ties.,39399
16782,coco-30k,A small laptop with a cat laying behind the screen.,12941
16783,coco-30k,A large crowd of people huddling under umbrellas.,23735
16784,coco-30k,Numerous boats in a street lined body of water.,85682
16785,coco-30k,A red bench and a person in a train station.,10005
16786,coco-30k,A group of people on the street with umbrellas.,36052
16787,coco-30k,A man picking up trash with a garbage bag at a food court.,83381
16788,coco-30k,A couple of elephants that are standing in the dirt.,48760
16789,coco-30k,A small dog standing next to a potted plant wearing a collar.,53876
16790,coco-30k,"A group of people, one of a woman with a umbrella.",2962
16791,coco-30k,A woman walking in the rain while holding an umbrella.,96296
16792,coco-30k,A herd of cattle grazing on a lush green grass field.,9569
16793,coco-30k,A woman holding a child and standing near a bull.,46491
16794,coco-30k,A group of people walking down a small road under a large white tree.,18350
16795,coco-30k, A woman with an umbrella on a bicycle,76690
16796,coco-30k,A large body of water filled with lots of boats near tall buildings.,30249
16797,coco-30k,A cement truck sitting next to a wooden fence.,16884
16798,coco-30k,a long train going along the train tracks,79731
16799,coco-30k,A parking meter sitting in the snow next to a parked car.,63555
16800,coco-30k,A green truck with a snow plow next to a yellow vehicle.,49337
16801,coco-30k,A polar bear keeping cool in the water.,67419
16802,coco-30k,Two adult elephants and a child elephant walking in the woods. ,29052
16803,coco-30k,A little girl is standing in a ladybug raincoat with a ladybug umbrella. ,34000
16804,coco-30k,A man dressed in a black vest suit is modeling in front of a building. ,4495
16805,coco-30k,A peddler selling shirts in the rain outside a HSBC building.,26197
16806,coco-30k,Three Asian people are riding on top of an elephant. ,24355
16807,coco-30k,Three men in suits posing together for a picture.,93343
16808,coco-30k,An elephant messing with a tree trunk. ,55462
16809,coco-30k,A couple of dogs walking next to a couple of chairs.,82629
16810,coco-30k,A baby elephant following  its mother's and grabbing her tail.,2026
16811,coco-30k,A fire/rescue truck in line in traffic ,32290
16812,coco-30k,A cat looking like it is using a laptop ,16673
16813,coco-30k,An elephant with a large trunk sitting on top of a ground.,16247
16814,coco-30k,A post office box is on the side of a busy street.,89820
16815,coco-30k,A man with a red beard has on a tie.,72406
16816,coco-30k,a large elephant that is standing next to some trees,21755
16817,coco-30k,a little puppy dog in some kind of bag,14706
16818,coco-30k,Two women are imposing together as one holds her luggage.,95984
16819,coco-30k,A cat lying under a laptop and beside another computer. ,93178
16820,coco-30k,An elephant is standing near a pond full of water.,15773
16821,coco-30k,there is a yellow and green train coming up the tracks,35198
16822,coco-30k,a small boat in a body of water ,10673
16823,coco-30k,"An umbrella on a cement wall that says ""San Miguel"".",52065
16824,coco-30k,Two men are playing ball with some elephants.,55801
16825,coco-30k,A man in a suit is walking with a woman carrying an umbrella.,67450
16826,coco-30k,"An orange and white cat, a grey cat and a black cat on a bed with a blue and green cover. ",43476
16827,coco-30k,A person with long blonde hair wearing a blue shirt with a brown tie and blue white flowers.,86070
16828,coco-30k,The black cat with white patches is sleeping on a computer keyboard.,69259
16829,coco-30k,"Two men standing outside holding umbrellas, people walking by in the background.",28404
16830,coco-30k,A pinup-style photo of a woman sitting on a luggage trunk.,91547
16831,coco-30k,A traffic light over a street with cars.,24937
16832,coco-30k,Two baby elephants are playing at the feet of two adult elephants. ,4124
16833,coco-30k,A man splashing in the water with a giant umbrella.,53252
16834,coco-30k,"Two men sitting at a table, one with a bottle in his hand and the other has a bow tie on. ",15253
16835,coco-30k,a close up of two cats on a bath room sink,90193
16836,coco-30k,Cattle grazing on grasslands beneath a power tower. ,75797
16837,coco-30k,A teddy bear is on the pillow and a jacket is on the bed.,24720
16838,coco-30k,A view of a beach that has some people sitting on it.,48926
16839,coco-30k,A cat is sleeping with his head resting on an electronics box. ,78198
16840,coco-30k,a bunch of elephants walk around a broken tree ,85895
16841,coco-30k,a tennis player on a court with someone holding an umbrella,45226
16842,coco-30k,A young girl wearing a red tie is adjusting her glasses. ,85290
16843,coco-30k,A cat is staring at a laptop computer.,76297
16844,coco-30k,A woman in a tie and blue hair. ,62074
16845,coco-30k,A formally dressed man is on state singing. ,10065
16846,coco-30k,The man is pushing a cart with his suitcases on it. ,2276
16847,coco-30k,There is no image here to provide a caption for.,76633
16848,coco-30k,A cat standing on a couch in a cluttered living room.,90407
16849,coco-30k,A couple of bags of someone's belongings that were left unattended. ,42347
16850,coco-30k,The dog is laying down underneath the table because he is in trouble for chewing on things he shouldn't have chewed on. ,59037
16851,coco-30k,A woman with dyed hair and wearing a tie poses for a selfie.,22681
16852,coco-30k,A gate is near lots and lots of luggage that is all grouped together in different clusters.,58875
16853,coco-30k,a large lake and a forest behind it,56420
16854,coco-30k,A black and white cat sitting on top of a pile of clothes.,44652
16855,coco-30k,Two pug dogs and a sandal show on a couch,10460
16856,coco-30k,A tall building with lots of windows and a walkway.,86421
16857,coco-30k,A lady holding an umbrella is standing at the rail. ,42950
16858,coco-30k,Looking at a barge cross a channel of water under a cloudy sky,18832
16859,coco-30k,A man that is walking next to a train.,91477
16860,coco-30k,A black cat laying on top of a bed next to pillows.,98865
16861,coco-30k,A man standing near the water with an umbrella.,14936
16862,coco-30k,A cat standing on top of a piece of luggage in a room.,68000
16863,coco-30k,A group of ties that are on a blanket.,76416
16864,coco-30k,A group of boats that are sitting in the water.,17831
16865,coco-30k,A person on a horse chasing a cow.,37524
16866,coco-30k,A cat sleeping on top of a stereo by a plastic clock,62759
16867,coco-30k,A yellow boat sitting on top of a body of water.,40759
16868,coco-30k,A small cat sitting on a chair by a window.,77008
16869,coco-30k,a street with some vehicle on it pass in front of a market ,54716
16870,coco-30k,A couple of women that are holding umbrellas.,24319
16871,coco-30k,a cat on top of different kinds of electronics,7332
16872,coco-30k,Baby sits inside an empty suitcase on top of a bed.,23096
16873,coco-30k,Two cows are in a mountainside field with snow-covered mountains in the background. ,62073
16874,coco-30k,A couple of cats laying on top of a bed.,59579
16875,coco-30k,A cow seems disfigured and injured on the beach. ,78770
16876,coco-30k,a person wearing a a shirt and tie ,98785
16877,coco-30k,A woman sitting on piece of luggage sitting in front of a building.,35775
16878,coco-30k,Two elephants are out in the wild together. ,24069
16879,coco-30k,A dog is jumping with a Frisbee in its mouth. ,21980
16880,coco-30k,A man dressed in a suit standing next to his bicycle.,60159
16881,coco-30k,Cat laying in luggage on bed with white walls,39142
16882,coco-30k,A few boats are parked near the shore line. ,35388
16883,coco-30k,A bus with two people and luggage by the door,42106
16884,coco-30k,A steam train is traveling down the tracks. ,94085
16885,coco-30k,two polar bears playing with each other ,72800
16886,coco-30k,A man walking down a street holding a red and gray bag.,94198
16887,coco-30k,A cat laying on top of a flat screen TV.,87998
16888,coco-30k,The man is wearing a hat and tie of a man wearing a hat.,1346
16889,coco-30k,A  frisbee is flying over the dog's head.,40807
16890,coco-30k,A cat that is in a piece of luggage.,32358
16891,coco-30k,A black and white cow standing next to a barbed wire fence.,69462
16892,coco-30k,A cat eating a birthday cake on top of the table. ,22427
16893,coco-30k,a wood floored living room with a modern couch and large windows,49827
16894,coco-30k,There are several multicolored sun umbrellas and this boy is holding one,21754
16895,coco-30k,A group of people sitting on the backs of elephants.,83754
16896,coco-30k,a man talking to a group of people and standing in front of a screen,86889
16897,coco-30k,A herd of animals standing on top of a lush green field.,6755
16898,coco-30k,a young elephant walks with adult elephants along a dirt path,4732
16899,coco-30k,a black and white cat looks at the camera and there is a TV in the background,37987
16900,coco-30k,a big dog leans out the window of a car,40548
16901,coco-30k,two mid size police vehicle parked with two man standing outside them,27674
16902,coco-30k,A group of elephants walking in dry grass.,52787
16903,coco-30k,A group of people wait in line to use a machine.,33340
16904,coco-30k,A man taking a photograph of himself in a security mirror. ,85113
16905,coco-30k,A large dog sitting in a  chair next to a glass top table.,44366
16906,coco-30k,A boat floats in the water near the shore. ,89886
16907,coco-30k,Some people are walking in the snow and having fun. ,63699
16908,coco-30k,A man and a woman dressed in wedding dresses.,19406
16909,coco-30k,THERE IS AN ADULT CAT THAT IS LOOKING AT SOMETHING ,78694
16910,coco-30k,A group of people hanging out around a truck.,3791
16911,coco-30k,A group of people sitting on the back of a truck.,58991
16912,coco-30k,A white cat wearing a helmet made of melon rind.,37998
16913,coco-30k,A group of boats sitting next to each other on a beach.,13051
16914,coco-30k,A woman wearing a camera strap around her neck.,77306
16915,coco-30k,A black bear standing next to a metal pole fence near plants.,77750
16916,coco-30k,a herd of cows standing next to each other.,92963
16917,coco-30k,A couple of lawn chairs sitting on top of a beach under an umbrella.,70565
16918,coco-30k,A black and white photo of city street with cars parked.,64722
16919,coco-30k,A woman walking across a street holding a camera.,49652
16920,coco-30k,A couple of cats sitting on top of a chair with a wooden back.,26993
16921,coco-30k,A cat laying on top of a blanket on a bed.,34272
16922,coco-30k,A large elephant standing on top of a grass covered field.,77171
16923,coco-30k,A white furry puppy dog nestled beside a brown teddy bear.,13739
16924,coco-30k,a cat lying on a sofa next to a stuffed animal,86260
16925,coco-30k,a smiling groom holding his bride in his arms,58223
16926,coco-30k,A woman holding an umbrella while standing next to a river.,39619
16927,coco-30k,A kitten standing next to a bunch of bananas on a bed.,79850
16928,coco-30k,A cat standing on top of a carpet on a TV screen.,89311
16929,coco-30k,A train traveling down train tracks next to a tall building.,81646
16930,coco-30k,People are sitting on the top of a blue trailer.,90545
16931,coco-30k,A small child touches the trunk of an elephant standing behind an enclosure.,42528
16932,coco-30k,A cat laying on top of a suitcase laying on the floor. ,94754
16933,coco-30k,A pair of shoes sitting on top of a skateboard.,69458
16934,coco-30k,A man sitting next to a red piece of luggage in a parking lot.,85130
16935,coco-30k,A cat laying next to a pair of shoes on a hard wood floor.,10346
16936,coco-30k,A person riding skis on top of a snow covered slope near a dog.,63101
16937,coco-30k,A brown bear walking across a snow covered field.,20967
16938,coco-30k,A parking meter with a zone 3 sticker on it.,97810
16939,coco-30k,A person holding an umbrella walking across a road.,51097
16940,coco-30k,A yellow teddy bear on a little girls bed,33709
16941,coco-30k,Some very pretty brown cows eating near a fence.,68901
16942,coco-30k,A cat and a Dog playing on the floor near shoes.,85612
16943,coco-30k,a couple of people holding a umbrella on a bridge,27555
16944,coco-30k,Two men enjoy glasses of beer at a gathering.,97140
16945,coco-30k,Cat sleeping on mat covered with remote controls. ,3660
16946,coco-30k,Brown bear sitting in upright position in grassy field.,56871
16947,coco-30k,The cat is sitting by the open laptop on the desk. ,1774
16948,coco-30k,Dogs playing at a birthday with one dog wearing a hat ,31697
16949,coco-30k,A street vendor with ties hanging from a rod ,31902
16950,coco-30k,There are cattle on the bank by the river. ,85128
16951,coco-30k,Two men in suits look like they are singing ,7650
16952,coco-30k,A bunch of very pretty umbrellas displayed in a tree.,99861
16953,coco-30k,A couple of pieces of very nice looking luggage.,35835
16954,coco-30k,A dog laying down on a pillow and a cat in the suitcase with a water and food bowl nearby.,2714
16955,coco-30k,A large number of a cows lined up at a feeder.,16217
16956,coco-30k,A Ma and Pa statue outside some high rise office buildings ,41987
16957,coco-30k,a dump truck in field of dirt and straw,99460
16958,coco-30k,A boat sitting on someone's lawn near an abandoned brick house. ,76663
16959,coco-30k,A dog in mittens chewing a plastic bottle.,26626
16960,coco-30k,obama delivers a speech photoshopped with the ussr flag,22355
16961,coco-30k,Elephants walk in a line down the middle of the street,21533
16962,coco-30k,A mother and baby elephant are standing near a water source.,11944
16963,coco-30k,a happy looking polar bear swiiming in water,69794
16964,coco-30k,A group of people are standing next to an elephant emerging from the water.,23188
16965,coco-30k,a cat lays down next to a key board ,22111
16966,coco-30k,A boy taking a picture of himself in mirror.,78728
16967,coco-30k,a cat on a keyboard on the ground,94707
16968,coco-30k,A dairy cow leaned over eating some grass from a field.,76105
16969,coco-30k,An adult poses with a young child on the sidewalk for a picture.,65477
16970,coco-30k,a number of people washing an elephant ,53710
16971,coco-30k,a small boat in a body of water ,24461
16972,coco-30k,A dog in a leash harness posing for a photo.,92132
16973,coco-30k,a balloon elephant sits in the middle of a park area ,66141
16974,coco-30k,A group of bags and suitcases sitting on a tile floor,43026
16975,coco-30k,A parking meter with two heads stands on the street.,10804
16976,coco-30k,A guy wearing a white shirt holds up a white frisbee.,20290
16977,coco-30k,A very big bear in the water by a waterfall.,68180
16978,coco-30k,A train engine carrying carts down a track.,76040
16979,coco-30k,Five very small boats sitting in the water tied to the dock.,63234
16980,coco-30k,"Several people walking on a sidewalk, with one man holding an umbrella.",749
16981,coco-30k,a bear in a shallow body of water near grass,91074
16982,coco-30k,Attendants at a fancy event wear long dresses and tuxedos.,38804
16983,coco-30k,A man puts neck ties up on a display.,43505
16984,coco-30k,An adorable dog standing on top of a lawn chair next to a BBQ with little hot dogs grilling on it.,56013
16985,coco-30k,A polar bear sticks its head in another polar bear's butt.,50585
16986,coco-30k,A parking meter sitting next to a street with a very odd looking building next to it.,16281
16987,coco-30k,some people and a dog under an open umbrella,64318
16988,coco-30k,a cat sleeping near lots of pairs of shoes,98987
16989,coco-30k,A cat sitting on top of a window sill near a phone.,48675
16990,coco-30k,A dog wearing a yellow bandanna sitting on a log during a hike,79836
16991,coco-30k,A picture of the head of a brown cow wearing a halter.,952
16992,coco-30k,A woman that is kneeling under a elephants trunk.,87691
16993,coco-30k,A frisbee that is laying in the grass near a tree.,66648
16994,coco-30k,Black cat laying on a chair's cushion staring at something.,31902
16995,coco-30k,A elephant that is standing in the grass.,705
16996,coco-30k,A single cow laying in a grassy field,56956
16997,coco-30k,a person standing next to an elephant on a field,848
16998,coco-30k,There is a small bus with several people standing next to it.,61381
16999,coco-30k,Elephants walking in a field with a lot of grass. ,58366
17000,coco-30k,A man helping another man tie his tie on his suit. ,42127
17001,coco-30k,a close up of a person standing next to a luggage bag,3739
17002,coco-30k,Woman grabbing her luggage at an airport terminal.,72817
17003,coco-30k,A woman walking down a street pulling a piece of luggage behind her.,50221
17004,coco-30k,some people sitting and standing on the beach,89170
17005,coco-30k,A woman holding a yellow frisbee while standing next to a man.,67566
17006,coco-30k,a cat laying on a luggage bag on the ground,27582
17007,coco-30k,A woman sitting in a chair at the beach. ,50870
17008,coco-30k,A man adjusting another mans color in front of a painting.,44175
17009,coco-30k,A small dog that is sitting in a sailboat panting.,16886
17010,coco-30k,Many cows are fenced into the green plains.,58872
17011,coco-30k,A dog and a cat sitting in a chair.,30820
17012,coco-30k,A cat sitting in a blue and white bag. ,82073
17013,coco-30k,A cat examines a bag while standing on a suitcase.,84596
17014,coco-30k,The grey cat with white feet sits on a televsion set.,2269
17015,coco-30k,A black cat laying on top of a piece of luggage.,40728
17016,coco-30k,sunset reflecting on the water with a silhouette of a boat and trees,64733
17017,coco-30k,A couple of people on a surfboard in the ocean.,62274
17018,coco-30k,A boat that is sitting in the water.,33110
17019,coco-30k,A cow that is leaning under a metal wall.,53809
17020,coco-30k,A person standing on top of a green grass hillside.,61455
17021,coco-30k,A person is walking in the sand near the water.,90421
17022,coco-30k,A herd of elephants walking across a river filled with muddy water.,26540
17023,coco-30k,A man standing on top of a boat holding an ore.,82607
17024,coco-30k,A train with an advertisement for the website of the Dutch passenger railway company Nederlanse Spoorwegen.,61159
17025,coco-30k,A black cat and an orange cat are sitting on the floor.,40250
17026,coco-30k,A bear is sitting in the grass with a cub.,35572
17027,coco-30k,Two cats are laying in the chair sleeping.,16037
17028,coco-30k,A yellow and black train sitting next to a loading platform.,48014
17029,coco-30k,A stuffed animal laying on top of a blue bed.,38412
17030,coco-30k,The cupcakes are covered with small toy beach scenes.,17280
17031,coco-30k,A view of a professional camera and light umbrella.,37595
17032,coco-30k,A cat is sitting on top of a gray plate.,55027
17033,coco-30k, A boy and a girl posing for a picture in formal wear.,75569
17034,coco-30k,A woman holding up an umbrella near a stage.,60372
17035,coco-30k,A small kitten is walking on a computer keyboard. ,67934
17036,coco-30k,a man well dressed posing at the photo,28264
17037,coco-30k,A cat wearing a collar is looking in a mirror.,31138
17038,coco-30k,A computer desk with a computer turned on.,80835
17039,coco-30k,A man riding a white horse in a fenced in location. ,44511
17040,coco-30k,A food cart sitting on the side of a crosswalk.,7485
17041,coco-30k,Several large trucks parked outside among many tree's.,45844
17042,coco-30k,Several people are seen walking through the airport while waiting for their bags.,58614
17043,coco-30k,A dog wearing a red bag on his shoulder runs in the snow.,50471
17044,coco-30k,An open area with numerous bags and moving trucks.,88187
17045,coco-30k,A white truck driving down a road next to green trees.,5066
17046,coco-30k,numerous signs attached to a post with bald trees behind them,60502
17047,coco-30k,A moose is standing out by a river,25848
17048,coco-30k,A man with his foot on the face of someone lying on the ground.,99313
17049,coco-30k,A panda bear with its hand to its mouth.,17561
17050,coco-30k,A family outside in a yard playing frisbee with their dog. ,96712
17051,coco-30k,A black and brown dog sits on a white rug with a toy donut in front of him. ,24717
17052,coco-30k,A small  pink statue  holding onto an umbrella,37672
17053,coco-30k,A group of black bears together in an enclosure,42729
17054,coco-30k,two animals grazing in an open field next to some trees,56903
17055,coco-30k,A man with an evil smirk on his face wearing a vest.,45072
17056,coco-30k,A stone statue of an elephant near a large vase.,11400
17057,coco-30k,A large crane truck driving on top of wet mud.,12381
17058,coco-30k,A white and brown dog laying on top of a wooden floor.,38268
17059,coco-30k,A red table topped with a laptop and a monitor.,23497
17060,coco-30k,A giant elephant laying on top of a dirt ground.,32191
17061,coco-30k,a man on a three wheeler following behind a two dogs and a cow,47742
17062,coco-30k,A man raising a foot over a brief case,35980
17063,coco-30k,A cat sleeping on top of a closed suit case.,50845
17064,coco-30k,A cat laying in a bathroom sink under a faucet.,95319
17065,coco-30k,THERE ARE SOME THINGS THAT ARE IN A TRAY ,72805
17066,coco-30k,A train is pulling into the train station. ,4279
17067,coco-30k,THERE IS A BOY IN  A BLUE SWEATER LOOKING AT SOMETHING,71345
17068,coco-30k,A large jetliner sitting on top of an airport tarmac.,5363
17069,coco-30k,A man wearing a neck tie and a green shirt.,80616
17070,coco-30k,THERE IS A BOAT THAT IS IN THE WATER ,12304
17071,coco-30k,A herd of cattle grazing on a lush green field.,32337
17072,coco-30k,"A man and a woman, who are dressed nicely, are posing for a silly picture. ",68503
17073,coco-30k,There is a black and white cat laying on top of a purse.,16172
17074,coco-30k,A couple of hipsters standing next to each other.,57265
17075,coco-30k,A couple of men walking with a large elephant.,15611
17076,coco-30k,A calico cat is curled up on a mat taking a nap.,41837
17077,coco-30k,A couple of soldiers standing on top of a boat.,43954
17078,coco-30k,A pile of luggage sitting on the side or a road.,99570
17079,coco-30k,THERE IS A DUMM IN THE SUIT CASE ,17265
17080,coco-30k,A white truck driving down a curvy road near trees.,5515
17081,coco-30k,THERE IS A MAN THAT IS PLAYING MUSICAL INSTURMENTS ,63107
17082,coco-30k,THERE ARE PEOPLE THAT ARE ON THE SKIS WITH HIS DOG,95550
17083,coco-30k,A red umbrella is an asian garden setting.,41621
17084,coco-30k,A red and blue truck driving down a street.,72028
17085,coco-30k,Many umbrellas are hanging from the ceiling in the umbrella shop.,23441
17086,coco-30k,"A yellow, red, and silver train makes its way to the loading platform.",23436
17087,coco-30k,A big train engine with a city skyline behind it.,36751
17088,coco-30k,The pick up truck is plowing the snow. ,67690
17089,coco-30k,a group of little elephants standing close to each other ,88508
17090,coco-30k,THERE ARE PEOPLE THAT ARE TAKING A WATER RAFT ,55914
17091,coco-30k,"A woman with a red sweater, seated and holding a small dog over a railing while looking into a body of water.",52497
17092,coco-30k,a green truck parked in a dirt field with green shrubbery,50159
17093,coco-30k,a maroon train traveling down a train track next to trees,78886
17094,coco-30k,THERE ARE CITY BUSES THAT ARE LINED ON THE STREET IN FRONT OF THE BUILDING ,36191
17095,coco-30k,THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA,37831
17096,coco-30k,STOP SIGN WITH SPRAY PAINTED WORDS ON IT,61468
17097,coco-30k,A cat on a bed looking at a laptop ,97437
17098,coco-30k,Someone has taken a picture of the rear end of this elephant.,7553
17099,coco-30k,A sail boat stuck in the sand on the beach,63251
17100,coco-30k,A woman holding a child on her hip in the water,40737
17101,coco-30k,The parade features these people riding or even standing atop elephants,12116
17102,coco-30k,"A silver, blue, and orange train is moving past a platform at the train station.",93554
17103,coco-30k,A truck that is sitting out in the woods.,13139
17104,coco-30k,a panda bear walking on a field near a tree,89538
17105,coco-30k,a number of people holding a number of open umbrellas,59250
17106,coco-30k,a person with a child in a stroller ,7614
17107,coco-30k,a dog on with a collar stands in between two people,69419
17108,coco-30k,A boat traveling across a large body of water near a large mountain.,18787
17109,coco-30k,Two beautiful young ladies giving an elephant a bath in a river.,70078
17110,coco-30k,A yellow furniture moving truck parked next to a traffic light.,81149
17111,coco-30k,A group of people that are standing on a carpet.,45528
17112,coco-30k,A photo with many buildings off of a street with trucks parked in front.,48713
17113,coco-30k,A cat sleeping next to a pile of stuffed animals.,69244
17114,coco-30k,A woman standing next to a  brown and white dog.,84441
17115,coco-30k,A birthday cake that depicts a small mountain with cars driving up it.,75913
17116,coco-30k,a building sits in front of a parking meter ,19232
17117,coco-30k,A parked truck in a parking lot next to a tree.,43384
17118,coco-30k,A cat sitting on top of a wooden fence near a vase with flowers.,76490
17119,coco-30k,A large elephant standing next to a stone wall.,74640
17120,coco-30k,A crowd of people sitting in a room on to of a wooden floor.,90235
17121,coco-30k,The ties come in a variety of designs.,94034
17122,coco-30k,A brown dog laying next to a bottle of wine,74165
17123,coco-30k,A cow walking across a river as a boat approaches on the water.,4840
17124,coco-30k,A group of people standing on top of a green field.,36551
17125,coco-30k,A woman holding a plate of food near a grill.,98635
17126,coco-30k,A small elephant standing on top of a field.,72038
17127,coco-30k,a cat on a window sill with a bag ,89029
17128,coco-30k,A couch sitting on top of a field of grass.,81411
17129,coco-30k,A person holding a pink colorful umbrella on top of a dirt field.,35361
17130,coco-30k,A man riding on the back of an elephant in a  jungle.,36716
17131,coco-30k,A woman and a cat sitting in front of a TV.,34659
17132,coco-30k,A brown teddy bear standing next to a  tooth brush.,86721
17133,coco-30k,A large body of water covered with boats.,85756
17134,coco-30k,A group of young children sitting next to each other.,49388
17135,coco-30k,A black bomb squad truck driving down a  road.,16894
17136,coco-30k,"A boat with ropes attached to it, sitting on pavement.",91084
17137,coco-30k,A group of cattle laying on top of a dirt barn.,26217
17138,coco-30k,A train traveling down tracks net to a  bridge.,66560
17139,coco-30k,A man standing on a beach holding a white frisbee.,39783
17140,coco-30k,A man in coat and tie smiling and holding up two wine bottles in each hand by a cabinet with wine glasses in a room.,24962
17141,coco-30k,A cat with it's head inside of a brown shoe.,58661
17142,coco-30k,A table with chairs and an umbrella sitting on a patio. ,61394
17143,coco-30k,The side of a cow with an injury visible.,81992
17144,coco-30k,A Freightliner train moving through a train yard.,99417
17145,coco-30k,A woman with an umbrella walking beside a stone wall.,79477
17146,coco-30k,Three cats are lieing on a big soft pillow. ,52663
17147,coco-30k,A boat is traveling in a body of water.,84545
17148,coco-30k,two flat bed work trucks among palm trees,13702
17149,coco-30k,A black and white cat slightly opens its eyes on a red blanket in a bed.,80455
17150,coco-30k,A reflection on the exterior window of a vehicle.,31853
17151,coco-30k,A person standing next to a chair holding an umbrella.,90904
17152,coco-30k,Two women are talking to a guy who is wearing a hat and tie at a window.,81333
17153,coco-30k,A dog walking along a beach next to a man on a kiteboard.,28069
17154,coco-30k,A herd of elephants walking down a dirt road.,30603
17155,coco-30k,The man in a sweater vest is smiling for a pose.,52391
17156,coco-30k,A yellow truck driving down a curvy road.,93729
17157,coco-30k,A man walking beside a horse with a kid on it next to a dog.,94033
17158,coco-30k,A group of people standing next to lots of luggage.,92954
17159,coco-30k,A woman is placing Frisbees into a Frisbee basket.,99149
17160,coco-30k,Elephant eating leaves from tree standing on grass.,17757
17161,coco-30k,A man draped over his bed with his head hung low.,49842
17162,coco-30k,Two elephants in leafy area eating grass and leaves.,18904
17163,coco-30k,two parking meters connectec onto one pole ,12625
17164,coco-30k,toy of tracks arranged in a straight line,32696
17165,coco-30k,A woman sitting on top of a cement bench near a lake.,34774
17166,coco-30k,a cat laying under an umbrella on the ground,60013
17167,coco-30k,a cat sitting in front of a tv while watching a hocket game on tv,62842
17168,coco-30k,a giant bear standing on its hind legs in a grassy area in front of the mountain,76657
17169,coco-30k,A group of people riding on the back of a boat in the water.,60744
17170,coco-30k,A vendor selling fruit from the back of a truck.,46444
17171,coco-30k,A long red boat traveling under a bridge on a river.,73964
17172,coco-30k,A red and yellow train with two very large eyes.,58253
17173,coco-30k,Two traffic attached to a pole on a tree lined street.,87098
17174,coco-30k,A mirror hanging on the side of a white wall.,67353
17175,coco-30k,A cat sitting on top of a wooden desk.,69945
17176,coco-30k,Blue water with a boat and two people in the water.,70181
17177,coco-30k,A woman wearing a white sweater standing next to a man in a jacket.,40046
17178,coco-30k,A woman holding a colorful umbrella standing on top of a wet ground.,6637
17179,coco-30k,A cat laying on top of a blanket near a wall.,23249
17180,coco-30k,A little girl standing in front of a green fence.,5021
17181,coco-30k,A brown cow standing on top of a dry grass field.,53231
17182,coco-30k,A cat laying on top of a couch on top of a pillow.,16928
